table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,en,greenttowniriguchi,,,グリーンタウン入口
stops,stop_name,ja-Hrkt,ぐりーんたうんいりぐち,,,グリーンタウン入口
stops,stop_name,ja,グリーンタウン高尾,,,グリーンタウン高尾
stops,stop_name,en,Green Town Takao,,,グリーンタウン高尾
stops,stop_name,ja-Hrkt,ぐりーんたうんたかお,,,グリーンタウン高尾
stops,stop_name,ja,グリーントリム公園,,,グリーントリム公園
stops,stop_name,en,Green Trim Park,,,グリーントリム公園
stops,stop_name,ja-Hrkt,ぐりーんとりむこうえん,,,グリーントリム公園
stops,stop_name,ja,コテージ森林村,,,コテージ森林村
stops,stop_name,en,Cottage Shinrinmura,,,コテージ森林村
stops,stop_name,ja-Hrkt,こてーじしんりんむら,,,コテージ森林村
stops,stop_name,ja,コーポランド入口,,,コーポランド入口
stops,stop_name,en,Corpoland-iriguchi,,,コーポランド入口
stops,stop_name,ja-Hrkt,こーぽらんどいりぐち,,,コーポランド入口
stops,stop_name,ja,コーポランド北,,,コーポランド北
stops,stop_name,en,Corpoland-kita,,,コーポランド北
stops,stop_name,ja-Hrkt,こーぽらんどきた,,,コーポランド北
stops,stop_name,ja,コーポランド東,,,コーポランド東
stops,stop_name,en,Corpoland-higashi,,,コーポランド東
stops,stop_name,ja-Hrkt,こーぽらんどひがし,,,コーポランド東
stops,stop_name,ja,ゴルフ場入口,,,ゴルフ場入口
stops,stop_name,en,Golf Ground- iriguchi,,,ゴルフ場入口
stops,stop_name,ja-Hrkt,ごるふじょういりぐち,,,ゴルフ場入口
stops,stop_name,ja,サイエンスドーム,,,サイエンスドーム
stops,stop_name,en,Science Dome,,,サイエンスドーム
stops,stop_name,ja-Hrkt,さいえんすどーむ,,,サイエンスドーム
stops,stop_name,ja,サマーランド,,,サマーランド
stops,stop_name,en,Tokyo Summerland,,,サマーランド
stops,stop_name,ja-Hrkt,さまーらんど,,,サマーランド
stops,stop_name,ja,シルバー人材センター,,,シルバー人材センター
stops,stop_name,en,Silver Human Resources Center,,,シルバー人材センター
stops,stop_name,ja-Hrkt,しるばーじんざいせんたー,,,シルバー人材センター
stops,stop_name,ja,ジェイビス（JVIS）前,,,ジェイビス（JVIS）前
stops,stop_name,en,Jvis-mae,,,ジェイビス（JVIS）前
stops,stop_name,ja-Hrkt,じぇいびすまえ,,,ジェイビス（JVIS）前
stops,stop_name,ja,スイミングセンター,,,スイミングセンター
stops,stop_name,en,Hamura City  Swimming Center,,,スイミングセンター
stops,stop_name,ja-Hrkt,すいみんぐせんたー,,,スイミングセンター
stops,stop_name,ja,スポーツセンター,,,スポーツセンター
stops,stop_name,en,Hamura City Sports Center,,,スポーツセンター
stops,stop_name,ja-Hrkt,すぽーつせんたー,,,スポーツセンター
stops,stop_name,ja,タウン中央,,,タウン中央
stops,stop_name,en,Town-chuo,,,タウン中央
stops,stop_name,ja-Hrkt,たうんちゅうおう,,,タウン中央
